Date,Open,Volume,Low,High,Close
"Nov 26, 2014",376.02,18601700,365.82,377.7,368.37
"Nov 27, 2014",370.5,8748030,368.28,373.99,369.67
"Nov 28, 2014",369.37,22946500,358.45,382.84,376.45
"Nov 29, 2014",376.15,15375600,372.14,387.6,375.49
"Nov 30, 2014",375.51,9194440,373.31,382.53,378.05
"Dec 01, 2014",378.25,11763000,376.67,383.66,379.25
"Dec 02, 2014",379.25,12364100,377.86,384.04,381.31
"Dec 03, 2014",381.72,13340100,374.35,383.03,375.01
"Dec 04, 2014",375.72,14529600,367.76,378.65,369.6
"Dec 05, 2014",369.44,15181800,365.76,379.19,376.85
"Dec 06, 2014",376.76,7009320,370.94,378.45,374.79
"Dec 07, 2014",374.84,6491650,373.27,376.29,375.1
"Dec 08, 2014",374.96,18898700,361.89,376.03,361.91
"Dec 09, 2014",361.89,32915500,344.95,363.07,352.22
"Dec 10, 2014",352.2,16427700,346.37,352.38,346.37
"Dec 11, 2014",344.34,32431300,338.76,361.36,350.51
"Dec 12, 2014",350.83,16989800,349.29,352.98,352.54
"Dec 13, 2014",352.38,11675900,346.59,352.38,347.38
"Dec 14, 2014",346.73,12415200,345.42,353.32,351.63
"Dec 15, 2014",351.36,17264200,344.93,351.81,345.35
"Dec 16, 2014",345.67,30864900,327.06,345.86,327.06
"Dec 17, 2014",326.86,37567900,315.15,333.95,319.78
"Dec 18, 2014",319.79,39173000,304.23,323.71,311.4
"Dec 19, 2014",311.18,23823100,306.77,318.53,317.84
"Dec 20, 2014",317.62,20856700,316.04,330.32,329.96
"Dec 21, 2014",329.54,15207600,318.9,329.63,320.84
"Dec 22, 2014",321.07,22315100,320.43,334.12,331.89
"Dec 23, 2014",332.02,16574200,329.6,336.29,334.57
"Dec 24, 2014",334.38,15092300,321.36,334.74,322.53
"Dec 25, 2014",322.29,9883640,316.96,322.67,319.01
"Dec 26, 2014",319.15,16410500,316.63,331.42,327.92
"Dec 27, 2014",327.58,15185200,312.63,328.91,315.86
"Dec 28, 2014",316.16,11676600,311.08,320.03,317.24
"Dec 29, 2014",317.7,12302500,312.31,320.27,312.67
"Dec 30, 2014",312.72,12528300,309.37,314.81,310.74
"Dec 31, 2014",310.91,13942900,310.21,320.19,320.19
"Jan 01, 2015",320.44,8036550,314,320.44,314.25
"Jan 02, 2015",314.08,7860650,313.56,315.84,315.03
"Jan 03, 2015",314.85,33054400,281.08,315.15,281.08
"Jan 04, 2015",281.15,55629100,257.61,287.23,264.19
"Jan 05, 2015",265.08,43962800,265.08,278.34,274.47
"Jan 06, 2015",274.61,23245700,272.7,287.55,286.19
"Jan 07, 2015",286.08,24866800,283.08,298.75,294.34
"Jan 08, 2015",294.13,19982500,282.18,294.13,283.35
"Jan 09, 2015",282.38,18718600,280.53,291.11,290.41
"Jan 10, 2015",287.3,15264300,273.97,288.13,274.8
"Jan 11, 2015",274.61,18200800,265.04,279.64,265.66
"Jan 12, 2015",266.15,18880300,265.2,272.2,267.8
"Jan 13, 2015",267.39,72843900,219.91,268.28,225.86
"Jan 14, 2015",223.89,97638700,171.51,223.89,178.1
"Jan 15, 2015",176.9,81773500,176.9,229.07,209.84
"Jan 16, 2015",209.07,38421000,199.77,221.59,208.1
"Jan 17, 2015",207.83,23469700,194.88,211.73,199.26
"Jan 18, 2015",200.05,30085100,194.51,218.69,210.34
"Jan 19, 2015",211.47,18658300,207.32,216.73,214.86
"Jan 20, 2015",212.91,24051100,205.15,215.24,211.31
"Jan 21, 2015",211.38,29924600,211.21,227.79,226.9
"Jan 22, 2015",227.32,33544600,226.43,237.02,233.41
"Jan 23, 2015",233.52,24621700,225.2,234.84,232.88
"Jan 24, 2015",232.7,24782500,230.02,248.21,247.85
"Jan 25, 2015",247.35,33582700,243.89,255.07,253.72
"Jan 26, 2015",254.08,106794000,254.08,309.38,273.47
"Jan 27, 2015",273.17,44399000,250.65,275.48,263.48
"Jan 28, 2015",263.35,44352200,227.05,266.54,233.91
"Jan 29, 2015",233.35,32213400,220.71,238.71,233.51
"Jan 30, 2015",232.77,26605200,225.84,242.85,226.43
"Jan 31, 2015",226.44,23348200,216.31,233.5,217.46
"Feb 01, 2015",216.87,29128500,212.01,231.57,226.97
"Feb 02, 2015",226.49,30612100,222.66,242.18,238.23
"Feb 03, 2015",237.45,40783700,224.48,245.96,227.27
"Feb 04, 2015",227.51,26594300,221.11,230.06,226.85
"Feb 05, 2015",227.66,22516400,214.72,239.41,217.11
"Feb 06, 2015",216.92,24435300,216.23,230.51,222.27
"Feb 07, 2015",222.63,21604200,222.61,230.3,227.75
"Feb 08, 2015",227.69,17145200,221.08,229.44,223.41
"Feb 09, 2015",223.39,27791300,217.02,223.98,220.11
"Feb 10, 2015",220.28,21115100,215.33,221.81,219.84
"Feb 11, 2015",219.73,17201900,218.07,223.41,219.19
"Feb 12, 2015",219.21,15206200,217.61,222.2,221.76
"Feb 13, 2015",221.97,42744400,221.26,240.26,235.43
"Feb 14, 2015",235.53,49732500,235.53,259.81,257.32
"Feb 15, 2015",257.51,56552400,227.68,265.61,234.82
"Feb 16, 2015",234.82,28153700,229.02,239.52,233.84
"Feb 17, 2015",233.42,27363100,232.31,245.78,243.61
"Feb 18, 2015",243.78,25200800,232.34,244.25,236.33
"Feb 19, 2015",236.41,18270500,235.59,242.67,240.28
"Feb 20, 2015",240.25,23876700,239.3,247.1,243.78
"Feb 21, 2015",243.75,12284200,243.18,255.32,244.53
"Feb 22, 2015",244.54,19527000,233.85,246.39,235.98
"Feb 23, 2015",236,16400000,232.42,240.11,238.89
"Feb 24, 2015",239,14200400,236.4,239.9,238.74
"Feb 25, 2015",238.89,11496200,235.53,239.34,237.47
"Feb 26, 2015",237.34,13619400,234.26,237.71,236.43
"Feb 27, 2015",236.44,44013900,236.44,256.65,253.83
"Feb 28, 2015",253.52,13949300,249.48,254.69,254.26
"Mar 01, 2015",254.28,25213700,245.93,261.66,260.2
"Mar 02, 2015",260.36,40465700,258.31,276.3,275.67
"Mar 03, 2015",275.05,50461300,268.16,285.8,281.7
"Mar 04, 2015",281.99,41383000,268.13,284.23,273.09
"Mar 05, 2015",272.74,41302400,264.77,281.67,276.18
"Mar 06, 2015",275.6,28918900,270.01,277.61,272.72
"Mar 07, 2015",272.29,17825900,270.13,277.85,276.26
"Mar 08, 2015",276.43,22067900,272.56,277.86,274.35
"Mar 09, 2015",274.81,59178200,273.89,292.7,289.61
"Mar 10, 2015",289.86,67770800,289.74,300.04,291.76
"Mar 11, 2015",291.52,33963900,290.51,297.39,296.38
"Mar 12, 2015",296.13,32585200,292.41,297.09,294.35
"Mar 13, 2015",294.12,31421500,285.34,294.5,285.34
"Mar 14, 2015",284.44,22612300,280.98,286.34,281.88
"Mar 15, 2015",281.43,11970100,281,286.53,286.39
"Mar 16, 2015",285.69,21516100,285.69,294.11,290.59
"Mar 17, 2015",290.6,21497200,284.37,292.37,285.5
"Mar 18, 2015",285.07,57008000,249.87,285.34,256.3
"Mar 19, 2015",255.88,52732000,248.64,264.24,260.93
"Mar 20, 2015",260.96,18456700,259.16,264.85,261.75
"Mar 21, 2015",261.64,17130100,255.65,262.2,260.02
"Mar 22, 2015",259.92,18438100,259.59,269.75,267.96
"Mar 23, 2015",267.89,22811900,261.75,277.3,266.74
"Mar 24, 2015",266.58,40073700,244.16,267,245.59
"Mar 25, 2015",247.47,35866900,236.51,249.19,246.2
"Mar 26, 2015",246.28,25730000,244.91,254.35,248.53
"Mar 27, 2015",248.57,17274900,245.21,256.81,247.03
"Mar 28, 2015",246.97,16040900,246.97,254.21,252.8
